HousingType,facility_type,mode,Tr,mean,std,count
Private,Ss,walking,15,0.010018629898535239,0.016757097631429452,45
Public Housing,Hos,driving,15,1.3277708732607527,0.7843929425320683,78
Public Housing,Hos,driving,30,1.4408431447158694,0.23990515921387504,78
Public Housing,Hos,driving,60,1.4741601337679873,0.05403221505595353,78
Public Housing,Hos,transit,15,0.8510931706615745,2.8081859800180933,78
Public Housing,Hos,transit,30,1.4341659629150227,1.0573922208036972,78
Public Housing,Hos,transit,60,1.4887570449986354,0.2788743074024194,78
Public Housing,Hos,walking,5,1.1419207551235298,5.979388908756418,78
Public Housing,Hos,walking,10,1.4015934150470848,2.318284949224343,78
Public Housing,Hos,walking,15,1.4172798123176757,1.4985792357838834,78
Public Housing,Kin,driving,15,0.0347743557350676,0.013951894015924265,78
Public Housing,Kin,driving,30,0.030895498561219856,0.0037857147918181787,78
Public Housing,Kin,driving,60,0.03003516256974902,0.0008488307452318488,78
Public Housing,Kin,transit,15,0.01638418713318125,0.0410923859877294,78
Public Housing,Kin,transit,30,0.03078175082175007,0.022248175142164758,78
Public Housing,Kin,transit,60,0.030674119428613984,0.006310453807559587,78
Public Housing,Kin,walking,5,0.02233628843437382,0.027511983220332475,78
Public Housing,Kin,walking,10,0.028199545531515574,0.03783814550979255,78
Public Housing,Kin,walking,15,0.03012305221758677,0.0417880135949184,78
Public Housing,OS,driving,15,0.7882854864474325,0.4760145071619385,78
Public Housing,OS,driving,30,0.7227855055852085,0.09746181100474974,78
Public Housing,OS,driving,60,0.6893992892341267,0.020705268420719996,78
Public Housing,OS,transit,15,0.7935399421371566,5.947245985517536,78
Public Housing,OS,transit,30,0.6255748597491729,0.6534126340454259,78
Public Housing,OS,transit,60,0.6722864369297035,0.19103705735233578,78
Public Housing,OS,walking,5,0.20850323729579118,1.0675456603214821,78
Public Housing,OS,walking,10,0.4224468401307816,0.966190413489168,78
Public Housing,OS,walking,15,0.46564326990549004,0.7032036908180068,78
Public Housing,Pri,driving,15,0.005655204696741245,0.0024764635946982476,78
Public Housing,Pri,driving,30,0.005463649415062467,0.0006960986779290555,78
Public Housing,Pri,driving,60,0.005336950531115693,0.00015057795201458668,78
Public Housing,Pri,transit,15,0.002354225410139084,0.006518789195702347,78
Public Housing,Pri,transit,30,0.005082095183086041,0.0031291389741600847,78
Public Housing,Pri,transit,60,0.005315030153623416,0.001143502091557773,78
Public Housing,Pri,walking,5,0.00457330913536217,0.005742804700668694,78
Public Housing,Pri,walking,10,0.00496977286234309,0.0041009870054805565,78
Public Housing,Pri,walking,15,0.005113188702942584,0.003532906971894881,78
Public Housing,Ss,driving,15,0.009660980122390198,0.006546811165090556,78
Public Housing,Ss,driving,30,0.009455632087907595,0.002073537625035012,78
Public Housing,Ss,driving,60,0.009312976309666546,0.00043084764562183463,78
Public Housing,Ss,transit,15,0.0035087165479790617,0.008398468220930398,78
Public Housing,Ss,transit,30,0.008216762911586701,0.006730624356090754,78
Public Housing,Ss,transit,60,0.009241923496514001,0.0027657010792233087,78
