origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_060,walking,Kindergarten,5,0.6034462647177339,367,Sham Shui Po,PH,4696,367,15000,22.33173591,114.171393
PH_061,walking,Kindergarten,5,0,2680,Kowloon City,PH,18720,2680,14000,22.32997424,114.2035147
PH_062,walking,Kindergarten,5,0.2260711030082042,1097,Kwun Tong,PH,13612,1097,15000,22.30845044,114.2390538
PH_063,walking,Kindergarten,5,0.3490284040487217,866,Kwun Tong,PH,14060,866,15000,22.31532448,114.2297232
PH_064,walking,Kindergarten,5,0.10274963820549927,1382,Kwun Tong,PH,13467,1382,15000,22.312701,114.2326786
PH_065,walking,Kindergarten,5,0.1134952018872537,1671,Wong Tai Sin,PH,21845,1671,15000,22.35015662,114.2025883
PH_066,walking,Kindergarten,5,0.554826622558876,598,Wong Tai Sin,PH,7079,598,15000,22.34757921,114.2028018
PH_067,walking,Kindergarten,5,0.17037037037037037,1485,Wong Tai Sin,PH,17833,1485,15000,22.34818565,114.1987453
PH_068,walking,Kindergarten,5,0.3885981670131464,547,Wong Tai Sin,PH,5936,547,13960,22.34822658,114.2030322
PH_069,walking,Kindergarten,5,0.16544870810959764,976,Wong Tai Sin,PH,15440,976,15000,22.33440615,114.1925245
PH_070,walking,Kindergarten,5,0.010431136023484345,674,Wong Tai Sin,PH,5280,674,14430,22.332214,114.1933855
PH_071,walking,Kindergarten,5,0.20476858345021037,1426,Sham Shui Po,PH,18670,1426,15000,22.33679819,114.1559162
PH_072,walking,Kindergarten,5,0.1455026455026455,1134,Kwun Tong,PH,15831,1134,13500,22.31927466,114.2165158
PH_073,walking,Kindergarten,5,0.24916771233360152,920,Wong Tai Sin,PH,12176,920,14500,22.34277292,114.1919329
PH_074,walking,Kindergarten,5,0.220991227587565,1291,Wong Tai Sin,PH,16794,1291,15000,22.34055139,114.1875811
PH_075,walking,Kindergarten,5,0,325,Sham Shui Po,PH,3620,325,15000,22.32924887,114.15555
PH_076,walking,Kindergarten,5,0.05480636348792728,239,Kwun Tong,PH,4280,239,13320,22.31595699,114.2277603
PH_077,walking,Kindergarten,5,0.16513769278814566,2043,Kwun Tong,PH,21799,2043,15000,22.30061825,114.2360143
PH_078,walking,Kindergarten,5,0.2562543927395593,843,Kwun Tong,PH,10026,843,15000,22.29788419,114.2382112
C_014,walking,Kindergarten,5,0,586,Wong Tai Sin,C,5698,586,20000,22.34042546,114.2111569
C_015,walking,Kindergarten,5,0.2729188898262333,392,Kwun Tong,C,4432,392,17100,22.29842937,114.2421808
C_016,walking,Kindergarten,5,0,618,Kwun Tong,C,4909,618,20000,22.30891462,114.2324259
C_010,walking,Kindergarten,5,0.7527272727272728,550,Kwun Tong,C,6353,550,20000,22.30256192,114.2392893
C_011,walking,Kindergarten,5,0,442,Kwun Tong,C,3904,442,20000,22.31401752,114.2400131
C_012,walking,Kindergarten,5,0.037515032764404606,610,Kwun Tong,C,4839,610,20000,22.31059036,114.2344553
C_019,walking,Kindergarten,5,0.05119818608458883,286,Kwun Tong,C,4950,286,18000,22.31750076,114.2279714
C_020,walking,Kindergarten,5,0,801,Wong Tai Sin,C,8980,801,18490,22.3363155,114.2025524
C_021,walking,Kindergarten,5,0.13418480687893974,1542,Kwun Tong,C,14586,1542,21360,22.32994641,114.206744
C_023,walking,Kindergarten,5,0.46808510638297873,423,Wong Tai Sin,C,6034,423,20000,22.34326873,114.1865045
C_024,walking,Kindergarten,5,0,1005,Wong Tai Sin,C,10071,1005,18000,22.3462203,114.1877529
C_025,walking,Kindergarten,5,0.09425878320479865,1167,Wong Tai Sin,C,11614,1167,20000,22.35051523,114.199012
C_007,walking,Kindergarten,5,0.21028037383177572,1284,Kwun Tong,C,13786,1284,18500,22.32043626,114.2292572
C_008,walking,Kindergarten,5,0.13217053587742655,1177,Sham Shui Po,C,7247,1177,20000,22.32783546,114.1495678
C_009,walking,Kindergarten,5,0.6680051240361815,346,Kwun Tong,C,4971,346,20000,22.30548132,114.2380783
C_005,walking,Kindergarten,5,0.1118242619923821,203,Wong Tai Sin,C,3557,203,17500,22.3400544,114.1847606
C_006,walking,Kindergarten,5,0,574,Wong Tai Sin,C,6615,574,19900,22.34147382,114.2074404
C_003,walking,Kindergarten,5,0.06101691327643832,548,Kwun Tong,C,3500,548,21000,22.33166691,114.2137386
C_004,walking,Kindergarten,5,0,581,Kowloon City,C,4929,581,20000,22.31483144,114.1787874
C_026,walking,Kindergarten,5,0.32287062122939914,516,Kwun Tong,C,4499,516,20000,22.30033215,114.2380226
C_001,walking,Kindergarten,5,0.29706158376351943,1235,Yau Tsim Mong,C,11335,1235,20000,22.31420707,114.1645941
C_002,walking,Kindergarten,5,0,290,Kwun Tong,C,4039,290,16570,22.31907611,114.2263859
C_022,walking,Kindergarten,5,0.2561307901907357,367,Kwun Tong,C,3947,367,20000,22.33232766,114.2269977
C_013,walking,Kindergarten,5,0.09359370118753275,395,Wong Tai Sin,C,3999,395,18000,22.34181367,114.2097494
C_017,walking,Kindergarten,5,0.03900142552801687,349,Kwun Tong,C,3179,349,21250,22.32304899,114.2200991
C_018,walking,Kindergarten,5,0.34346103038309117,757,Wong Tai Sin,C,8550,757,19000,22.34210453,114.2002358
PV_001,walking,Kindergarten,5,0.20664206642066418,1084,Kwun Tong,PV,10791,1084,22000,22.32457077,114.2163576
PV_002,walking,Kindergarten,5,0.07266347086575604,694,Sham Shui Po,PV,4367,694,30000,22.33270983,114.1484643
PV_003,walking,Kindergarten,5,0.4458597057300155,1000,Sham Shui Po,PV,6515,1000,30000,22.33441907,114.1476419
PV_004,walking,Kindergarten,5,0,684,Kowloon City,PV,3265,684,21250,22.31903541,114.1856827
PV_005,walking,Kindergarten,5,0.0044899309607636505,534,Yau Tsim Mong,PV,3873,534,32900,22.31661937,114.162036
PV_006,walking,Kindergarten,5,0,458,Yau Tsim Mong,PV,5035,458,17000,22.32164611,114.1608705
PV_007,walking,Kindergarten,5,0,563,Sham Shui Po,PV,5276,563,45000,22.32702272,114.1537729
PV_008,walking,Kindergarten,5,0.44871794871794873,780,Wong Tai Sin,PV,4964,780,37620,22.34115728,114.2022541
PV_009,walking,Kindergarten,5,0,741,Kowloon City,PV,4400,741,24810,22.31922145,114.1936142
PV_010,walking,Kindergarten,5,0,672,Yau Tsim Mong,PV,3329,672,45000,22.32164088,114.1592698
PV_011,walking,Kindergarten,5,0,1139,Kowloon City,PV,6704,1139,28000,22.30298295,114.1865921
PV_012,walking,Kindergarten,5,0.8224923176364295,338,Kowloon City,PV,3249,338,17200,22.31536271,114.1894455
PV_013,walking,Kindergarten,5,0,943,Yau Tsim Mong,PV,6236,943,37000,22.31892152,114.1578582
PV_014,walking,Kindergarten,5,1.0155038759689923,516,Kowloon City,PV,6634,516,18000,22.30820029,114.1866632
PV_015,walking,Kindergarten,5,0.4695621548626282,281,Wong Tai Sin,PV,3928,281,20000,22.3377553,114.1946033
PV_016,walking,Kindergarten,5,0.09420289855072464,966,Kwun Tong,PV,11801,966,15000,22.3166007,114.2192043
PV_017,walking,Kindergarten,5,0.40630048465266555,2476,Kwun Tong,PV,22319,2476,28000,22.30590024,114.2277407
PV_018,walking,Kindergarten,5,0.04569327731092437,1904,Kowloon City,PV,12664,1904,26250,22.30810963,114.1925198
PV_019,walking,Kindergarten,5,0.11140613506387717,893,Sham Shui Po,PV,6009,893,34000,22.33460708,114.1488407
PV_020,walking,Kindergarten,5,0.482496194824962,657,Kowloon City,PV,8696,657,15000,22.31640666,114.1860035
PV_021,walking,Kindergarten,5,0.5826612903225806,496,Sham Shui Po,PV,3140,496,21250,22.3350008,114.1424009
PV_022,walking,Kindergarten,5,0.47160883280757093,634,Kowloon City,PV,3189,634,35000,22.31828993,114.1820845
PV_023,walking,Kindergarten,5,0.13135391923990497,4210,Sham Shui Po,PV,37299,4210,21250,22.33661512,114.139818
PV_024,walking,Kindergarten,5,0.01915248398254185,522,Kowloon City,PV,3421,522,15000,22.31609391,114.1904734
PV_025,walking,Kindergarten,5,0.34523809523809523,1092,Yau Tsim Mong,PV,7887,1092,26060,22.32455143,114.1604239
PV_026,walking,Kindergarten,5,0,242,Kowloon City,PV,2781,242,17000,22.31685284,114.191271
PV_027,walking,Kindergarten,5,0,440,Kowloon City,PV,2777,440,40000,22.32938647,114.2005199
PV_028,walking,Kindergarten,5,0.3015625,640,Sham Shui Po,PV,5005,640,31250,22.33377287,114.174473
PV_029,walking,Kindergarten,5,0,750,Yau Tsim Mong,PV,4651,750,30000,22.31607575,114.1630461
PV_030,walking,Kindergarten,5,0.9949238578680204,394,Yau Tsim Mong,PV,4090,394,17000,22.31045402,114.1684884
PV_031,walking,Kindergarten,5,0,729,Kowloon City,PV,4396,729,30000,22.30471666,114.1845144
PV_032,walking,Kindergarten,5,0.09130913091309131,909,Kwun Tong,PV,9645,909,14000,22.31604174,114.2351034
PV_033,walking,Kindergarten,5,0.242904790504263,1570,Kwun Tong,PV,12357,1570,25810,22.3070769,114.2332506
PV_034,walking,Kindergarten,5,0.612704360054364,1089,Kowloon City,PV,5678,1089,28000,22.32339095,114.190396
PV_035,walking,Kindergarten,5,0.03843580532495031,934,Yau Tsim Mong,PV,5802,934,26560,22.30639559,114.1625146
PV_036,walking,Kindergarten,5,0.36791087218705076,72,Sham Shui Po,PV,2567,72,16500,22.33227931,114.1695622
PV_037,walking,Kindergarten,5,0.17673745389533596,413,Kwun Tong,PV,3476,413,22000,22.3269967,114.2144952
PV_038,walking,Kindergarten,5,0,2019,Kwun Tong,PV,13142,2019,29500,22.3239867,114.2128048
PV_039,walking,Kindergarten,5,0.19141880022012608,493,Wong Tai Sin,PV,3264,493,26250,22.33356158,114.1968715
PV_040,walking,Kindergarten,5,0.08663101604278074,935,Yau Tsim Mong,PV,4472,935,45000,22.31952231,114.155851
PV_041,walking,Kindergarten,5,0,1122,Sham Shui Po,PV,5604,1122,30000,22.33460465,114.1497904
PV_042,walking,Kindergarten,5,0.08474474039735978,721,Yau Tsim Mong,PV,4002,721,29000,22.30485942,114.1630936
PV_043,walking,Kindergarten,5,0,793,Kowloon City,PV,6647,793,19000,22.30630575,114.1881364
PV_044,walking,Kindergarten,5,0.16629588431590656,3596,Kowloon City,PV,30038,3596,25000,22.30460603,114.1897326
PV_045,walking,Kindergarten,5,0,823,Kowloon City,PV,6746,823,18500,22.31776388,114.192306
