origin_id,mode,facility_type,Tr,AF_k,P_i
PH_063,walking,Hos,10,7.154631824079902,14060.0
PH_064,walking,Hos,10,0.0,13467.0
PH_065,walking,Hos,10,0.0,21845.0
PH_066,walking,Hos,10,0.24958774837435435,7079.0
PH_067,walking,Hos,10,3.237562673442806,17833.0
PH_068,walking,Hos,10,0.0,5936.0
PH_069,walking,Hos,10,3.593850612939193,15440.0
PH_070,walking,Hos,10,10.806445306250682,5280.0
PH_071,walking,Hos,10,1.4236019855923363,18670.0
PH_072,walking,Hos,10,3.9655958514279424,15831.0
PH_073,walking,Hos,10,0.6939228621296833,12176.0
PH_074,walking,Hos,10,1.7608155431647214,16794.0
PH_075,walking,Hos,10,0.6823846275277621,3620.0
PH_076,walking,Hos,10,10.880419814238191,4280.0
PH_077,walking,Hos,10,0.0,21799.0
PH_078,walking,Hos,10,0.0,10026.0
C_001,walking,Hos,10,0.0,11335.0
C_002,walking,Hos,10,10.018285337920178,4039.0
C_003,walking,Hos,10,0.0,3500.0
C_004,walking,Hos,10,0.0,4929.0
C_005,walking,Hos,10,1.8661210903771814,3557.0
C_006,walking,Hos,10,6.036471737063935,6615.0
C_007,walking,Hos,10,2.711627161872702,13786.0
C_008,walking,Hos,10,0.0,7247.0
C_009,walking,Hos,10,0.0,4971.0
C_010,walking,Hos,10,0.0,6353.0
C_011,walking,Hos,10,0.0,3904.0
C_012,walking,Hos,10,3.6090820057360657,4839.0
C_013,walking,Hos,10,3.2005048940341445,3999.0
C_014,walking,Hos,10,4.216269920066312,5698.0
C_015,walking,Hos,10,0.0,4432.0
C_016,walking,Hos,10,1.864733234104822,4909.0
C_017,walking,Hos,10,0.0,3179.0
C_018,walking,Hos,10,0.0,8550.0
C_019,walking,Hos,10,8.903926592842966,4950.0
C_020,walking,Hos,10,0.0,8980.0
C_021,walking,Hos,10,2.4656507652997632,14586.0
C_022,walking,Hos,10,1.3871546527395344,3947.0
C_023,walking,Hos,10,0.0,6034.0
C_024,walking,Hos,10,0.0,10071.0
C_025,walking,Hos,10,0.40119776380638345,11614.0
C_026,walking,Hos,10,0.0,4499.0
H_001,walking,Hos,10,1.7640946497594778,41.0
H_002,walking,Hos,10,7.910739898348232,20.7
H_003,walking,Hos,10,725.7165064242785,112.7
H_004,walking,Hos,10,6.130546882563723,121.9
H_005,walking,Hos,10,6.234040199888277,138.0
H_006,walking,Hos,10,1.853140038568876,34.5
H_007,walking,Hos,10,5.469849420406888,57.5
H_008,walking,Hos,10,27.795268740537054,55.2
H_009,walking,Hos,10,8.986629100298995,2.3
H_010,walking,Hos,10,3.981232813629979,2.3
H_011,walking,Hos,10,428.04026446927264,2.3
H_012,walking,Hos,10,13.3923301602453,2.3
H_013,walking,Hos,10,717.9944643818837,2.3
H_014,walking,Hos,10,708.1118538800572,32.2
H_015,walking,Hos,10,12.494430141811224,202.4
H_016,walking,Hos,10,166.04944810082532,4.6
H_017,walking,Hos,10,4.765985133778805,163.3
H_018,walking,Hos,10,1.6960639673017643,87.4
H_019,walking,Hos,10,12.702093728210077,168.0
H_020,walking,Hos,10,1.368172972095254,106.0
H_021,walking,Hos,10,1.5044596101001781,162.0
H_022,walking,Hos,10,0.9707223481035097,1600.0
H_023,walking,Hos,10,0.0,1090.0
H_024,walking,Hos,10,0.0,220.0
H_025,walking,Hos,10,0.6495304033269946,400.0
H_026,walking,Hos,10,5.637156783707912,509.0
H_027,walking,Hos,10,0.0,388.0
H_028,walking,Hos,10,2.1512774600858005,612.0
H_029,walking,Hos,10,0.3549163079847309,1460.0
H_030,walking,Hos,10,0.0,774.0
PV_001,walking,Hos,10,0.0,10791.0
PV_002,walking,Hos,10,0.06663809677935235,4367.0
PV_003,walking,Hos,10,0.0,6515.0
PV_004,walking,Hos,10,0.0,3265.0
PV_005,walking,Hos,10,0.0,3873.0
PV_006,walking,Hos,10,13.769917629401627,5035.0
PV_007,walking,Hos,10,0.3424890579673739,5276.0
PV_008,walking,Hos,10,0.6890763030658651,4964.0
PV_009,walking,Hos,10,0.0,4400.0
PV_010,walking,Hos,10,0.0,3329.0
PV_011,walking,Hos,10,0.0,6704.0
PV_012,walking,Hos,10,5.129689582044923,3249.0
PV_013,walking,Hos,10,0.0,6236.0
PV_014,walking,Hos,10,2.232141431849755,6634.0
PV_015,walking,Hos,10,1.3312637476846974,3928.0
PV_016,walking,Hos,10,4.3078038957899585,11801.0
PV_017,walking,Hos,10,0.0,22319.0
PV_018,walking,Hos,10,0.0,12664.0
PV_019,walking,Hos,10,0.09129572929140502,6009.0
PV_020,walking,Hos,10,4.051954764991364,8696.0
PV_021,walking,Hos,10,0.0,3140.0
PV_022,walking,Hos,10,0.0,3189.0
PV_023,walking,Hos,10,0.0,37299.0
PV_024,walking,Hos,10,5.2022548993528615,3421.0
PV_025,walking,Hos,10,0.0,7887.0
PV_026,walking,Hos,10,3.5397995215621454,2781.0
PV_027,walking,Hos,10,0.0,2777.0
PV_028,walking,Hos,10,0.240236833925684,5005.0
PV_029,walking,Hos,10,0.0,4651.0
PV_030,walking,Hos,10,46.47188425303415,4090.0
PV_031,walking,Hos,10,0.0,4396.0
PV_032,walking,Hos,10,0.0,9645.0
PV_033,walking,Hos,10,2.1574702947380326,12357.0
PV_034,walking,Hos,10,0.4796644363024164,5678.0
PV_035,walking,Hos,10,0.0,5802.0
PV_036,walking,Hos,10,2.0603663836699653,2567.0
PV_037,walking,Hos,10,0.0,3476.0
PV_038,walking,Hos,10,0.0,13142.0
PV_039,walking,Hos,10,5.221830105048029,3264.0
PV_040,walking,Hos,10,0.0,4472.0
PV_041,walking,Hos,10,0.20355118128497188,5604.0
PV_042,walking,Hos,10,0.0,4002.0
PV_043,walking,Hos,10,1.6303050921081852,6647.0
PV_044,walking,Hos,10,0.6215128053728871,30038.0
PV_045,walking,Hos,10,2.205543662841158,6746.0
PH_001,walking,Hos,15,0.0,3913.0
PH_002,walking,Hos,15,1.987067783315814,3209.0
PH_003,walking,Hos,15,0.0,3923.0
PH_004,walking,Hos,15,0.0,10775.0
PH_005,walking,Hos,15,0.0,5453.0
PH_006,walking,Hos,15,1.336383143231571,17817.0
PH_007,walking,Hos,15,0.0,13588.0
PH_008,walking,Hos,15,0.0,16756.0
PH_009,walking,Hos,15,0.0,8485.0
PH_010,walking,Hos,15,0.0,9682.0
PH_011,walking,Hos,15,1.7411456465378912,16989.0
PH_012,walking,Hos,15,1.5524664753871384,14147.0
PH_013,walking,Hos,15,2.0297021861194864,4587.0
PH_014,walking,Hos,15,0.8379908536411569,15655.0
PH_015,walking,Hos,15,2.7092629681814158,5572.0
PH_016,walking,Hos,15,1.2166183776590778,12066.0
PH_017,walking,Hos,15,0.525971898876424,6467.0
PH_018,walking,Hos,15,6.299226703326087,12329.0
PH_019,walking,Hos,15,5.8787481136115325,9540.0
PH_020,walking,Hos,15,0.03355823166245685,16071.0
PH_021,walking,Hos,15,0.3090568687439258,3415.0
PH_022,walking,Hos,15,0.09851805070187437,3444.0
PH_023,walking,Hos,15,0.8454331895172641,6744.0
PH_024,walking,Hos,15,1.2391980907192042,11876.0
PH_025,walking,Hos,15,1.9349911023407103,5866.0
PH_026,walking,Hos,15,1.3256128525255602,8869.0
PH_027,walking,Hos,15,0.0,6419.0
PH_028,walking,Hos,15,0.0,3185.0
PH_029,walking,Hos,15,0.0,7165.0
PH_030,walking,Hos,15,1.8867977195769854,6200.0
PH_031,walking,Hos,15,2.0321546884967665,3534.0
PH_032,walking,Hos,15,1.6805484971501927,10438.0
PH_033,walking,Hos,15,1.5600749204591535,7907.0
PH_034,walking,Hos,15,2.6195585355810356,11259.0
PH_035,walking,Hos,15,0.0,9662.0
PH_036,walking,Hos,15,2.912122405036141,9944.0
PH_037,walking,Hos,15,1.3900712455061188,8499.0
PH_038,walking,Hos,15,2.543379245551921,13258.0
PH_039,walking,Hos,15,1.8369910530744726,11426.0
PH_040,walking,Hos,15,0.8476740794852249,11295.0
PH_041,walking,Hos,15,0.6956594504768822,18247.0
PH_042,walking,Hos,15,1.6369345144179956,4942.0
PH_043,walking,Hos,15,2.5794375834381467,4411.0
PH_044,walking,Hos,15,1.1332097038443996,4684.0
PH_045,walking,Hos,15,0.9815698527228871,6208.0
PH_046,walking,Hos,15,0.3294611217433974,17407.0
PH_047,walking,Hos,15,0.7700795727467354,24618.0
PH_048,walking,Hos,15,0.0,23341.0
PH_049,walking,Hos,15,0.45787197242439404,16843.0
PH_050,walking,Hos,15,0.0,11985.0
PH_051,walking,Hos,15,1.324802678004011,14753.0
PH_052,walking,Hos,15,0.0,22319.0
PH_053,walking,Hos,15,0.4933387599995439,35277.0
PH_054,walking,Hos,15,1.3766181031576072,3063.0
PH_055,walking,Hos,15,1.7798259417069269,25561.0
PH_056,walking,Hos,15,0.9644978518535369,11404.0
PH_057,walking,Hos,15,1.087569480056797,6991.0
PH_058,walking,Hos,15,1.352081708059064,17926.0
PH_059,walking,Hos,15,3.5403237603774453,18748.0
PH_060,walking,Hos,15,1.1940607947554496,4696.0
PH_061,walking,Hos,15,1.3037364945270662,18720.0
PH_062,walking,Hos,15,0.9764942591152226,13612.0
PH_063,walking,Hos,15,5.130310696608603,14060.0
PH_064,walking,Hos,15,1.0315967942939839,13467.0
PH_065,walking,Hos,15,0.21932662118812388,21845.0
PH_066,walking,Hos,15,0.7933396285946885,7079.0
PH_067,walking,Hos,15,1.8398751172410737,17833.0
PH_068,walking,Hos,15,0.27302929073085336,5936.0
PH_069,walking,Hos,15,4.276783449222184,15440.0
PH_070,walking,Hos,15,5.187271820252721,5280.0
PH_071,walking,Hos,15,3.5598674103052272,18670.0
PH_072,walking,Hos,15,2.640960431785938,15831.0
PH_073,walking,Hos,15,1.1745168361007892,12176.0
PH_074,walking,Hos,15,1.799124522715573,16794.0
PH_075,walking,Hos,15,1.225480482893927,3620.0
PH_076,walking,Hos,15,6.208443729400915,4280.0
PH_077,walking,Hos,15,0.0,21799.0
PH_078,walking,Hos,15,0.0,10026.0
C_001,walking,Hos,15,8.722904663417184,11335.0
C_002,walking,Hos,15,6.124059075549809,4039.0
C_003,walking,Hos,15,0.0,3500.0
