ID,選校編號 Choice Code,"學    校    名    稱
Name of School",授課時間 Session,學校類別 School Type,資助類別 Finance Type,"宗教
Religion","**暫定統一派位學額 Provisional Number of Places for
Central
Allocation","學    校    地    址        ( 電  話 號  碼  )
School Address (Telephone Number)",map_latitude,map_longitude
PS_078,4303,"黃大仙天主教小學    (S) (B)
Wong Tai Sin Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",76,"九龍黃大仙正德街１０２號  *    (2320 8367) 102 Ching Tak Street, Wong Tai Sin, Kln",22.34094617,114.1938915
PS_079,4304,聖公會基德小學    (S) (B) SKH Kei Tak Primary School,"全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,50,"九龍黃大仙大成街  *    (2320 3077) Tai Shing Street, Wong Tai Sin, Kln",22.33706296,114.1944638
PS_080,4305,天主教伍華小學    (S) (P) (B) Ng Wah Catholic Primary School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",74,"九龍新蒲崗彩虹道５號  *    (2383 8079) 5 Choi Hung Road, San Po Kong, Kln",22.33310753,114.1947836
PS_081,4306,"天主教博智小學    (S) (B)
Price Memorial Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",90,"九龍黃大仙竹園道５３號  *    (2328 8033) 53 Chuk Yuen Road, Wong Tai Sin, Kln",22.34392682,114.187213
PS_082,4307,"黃大仙官立小學    (S) (P) (B)
Wong Tai Sin Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,94,"九龍黃大仙正德街１００號  *    (2320 2437) 100 Ching Tak Street, Wong Tai Sin, Kln",22.34096427,114.1935421
PS_083,4308,嘉諾撒小學    (S) (P) Canossa Primary School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍黃大仙親仁街５號    (2322 2445) 5 Chun Yan Street, Wong Tai Sin, Kln",22.34035879,114.1972988
PS_084,4309,"保良局陳南昌夫人小學    (S) (P) (B)
PLK Mrs Chan Nam Chong Memorial Primary
School","全日
whole-day","男女
co-ed","資助
aided",,72,"九龍新蒲崗康強街３０號  *    (2759 9365) 30 Hong Keung Street, San Po Kong, Kln",22.33515725,114.1967447
PS_085,4501,中華基督教會基華小學    (S) (#6) CCC Kei Wa Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",50,"九龍黃大仙彩虹邨黃菊路３號    (2320 0683)
3 Wong Kuk Avenue, Choi Hung Estate, Wong Tai Sin, Kln",22.33604073,114.206617
PS_086,4502,"彩雲聖若瑟小學    (S)
Choi Wan St Joseph’s Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",53,"九龍清水灣道彩雲邨    (2755 7180)
Choi Wan Estate, Clear Water Bay Road, Kln",22.33427862,114.2122952
PS_087,4503,真鐸學校    (S) Chun Tok School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",37,"九龍鑽石山斧山道１７１號    (2326 5111) 171 Hammer Hill Road, Diamond Hill, Kln",22.3402489,114.2070062
PS_088,4504,中華基督教會基慈小學    (S) (P) CCC Kei Tsz Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",71,"九龍慈雲山道１５２號    (2322 5122) 152 Tsz Wan Shan Road, Kln",22.35012995,114.1965818
PS_089,4505,"伊斯蘭鮑伯濤紀念小學    (S) (P)
Islamic Dharwood Pau Memorial Primary School","全日
whole-day","男女
co-ed","資助
aided","伊斯蘭教
Islam",65,"九龍慈雲山慈樂邨第一期    (2320 1300) Tsz Lok Estate, Phase 1, Tsz Wan Shan, Kln",22.34966032,114.1968827
PS_090,4506,"嗇色園主辦可立小學    (S) (P)
Ho Lap Primary School (Sponsored by Sik Sik Yuen)","全日
whole-day","男女
co-ed","資助
aided","儒釋道三教
Confucianism,
Buddhism & Taoism",59,"九龍慈雲山雙鳳街８８號    (2321 6003) 88 Sheung Fung Street, Tsz Wan Shan, Kln",22.34723995,114.19829
PS_091,4507,"聖文德天主教小學    (S) (P)
St Bonaventure Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",62,"九龍鑽石山鳳德邨鳳禮道４號    (2320 2727)
4 Fung Lai Road, Fung Tak Estate, Diamond Hill, Kln",22.34483729,114.2019786
PS_092,4508,"慈雲山聖文德天主教小學    (S) (P)
TWS St Bonaventure Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",104,"九龍慈雲山慈正邨寧華街    (2320 6226)
Ning Wah Street, Tsz Ching Estate, Tsz Wan Shan, Kln",22.3497678,114.2031153
PS_093,4509,"保良局錦泰小學    (S) (P)
PLK Grandmont Primary School","全日
whole-day","男女
co-ed","資助
aided",,51,"九龍黃大仙蒲崗村道１８０號    (2326 2886) 180 Po Kong Village Road, Wong Tai Sin, Kln",22.34491803,114.2052307
PS_094,4510,"聖博德天主教小學（蒲崗村道）   (S) (P)
St Patrick’s Catholic Primary School
(Po Kong Village Road)","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",61,"九龍黃大仙蒲崗村道１７８號    (2246 0783) 178 Po Kong Village Road, Wong Tai Sin, Kln",22.34454791,114.2044443
PS_095,4511,"慈雲山天主教小學    (S) (P)
Tsz Wan Shan Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",76,"九龍黃大仙蒲崗村道１７２號    (2327 3332) 172 Po Kong Village Road, Wong Tai Sin, Kln",22.34584833,114.204328
PS_096,4512,嘉諾撒小學（新蒲崗）    (S) (P) Canossa Primary School (San Po Kong),"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",72,"九龍新蒲崗彩頤里９號    (2323 8883) 9 Choi Yee Lane, San Po Kong, Kln",22.33699875,114.2020257
PS_097,4601,"佛教慈敬學校    (S) (P)
Buddhist Chi King Primary School","全日
whole-day","男女
co-ed","資助
aided","佛教
Buddhism",50,"九龍九龍灣啟禮道１２號    (2759 7722) 12 Kai Lai Road, Kowloon Bay, Kln",22.32775959,114.2071491
PS_098,4602,迦密梁省德學校    (S) (P) (#7) Carmel Leung Sing Tak School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",83,"九龍觀塘順安邨第二校舍    (2345 8063)
Estate School No. 2, Shun On Estate, Kwun Tong, Kln",22.32822474,114.2253975
