mode,facility_type,Tr,dest_id,S_j,demand_sum,R_j
walking,Hos,10,HS_020,55288.0,29826.732650051807,1.853639171567254
walking,Hos,10,HS_021,98753.0,14271.535319759192,6.919577872135084
walking,Hos,10,HS_022,50601.0,13261.32113584281,3.8156831798028925
walking,Hos,10,HS_023,43653.0,23594.25805942058,1.8501535369352495
walking,Hos,10,HS_024,86752.0,7360.389791897477,11.786332307495321
walking,Hos,10,HS_025,35598.0,26974.543565163225,1.319688687743866
walking,Hos,10,HS_026,190189.0,3909.7238976642966,48.64512302610949
walking,Hos,15,HS_001,63156.0,31407.363995096424,2.0108659870296797
walking,Hos,15,HS_002,123653.0,4306.501667860828,28.713096972146825
walking,Hos,15,HS_003,89284.0,39227.11152033327,2.276078878602109
walking,Hos,15,HS_004,102088.0,30935.053452687484,3.300075112400722
walking,Hos,15,HS_005,40940.0,50935.953458707656,0.8037544645785203
walking,Hos,15,HS_006,54060.0,51714.473321457655,1.0453553237207411
walking,Hos,15,HS_007,78575.0,43309.69890474542,1.8142587454328984
walking,Hos,15,HS_008,107723.0,10127.820383554623,10.636345819769742
walking,Hos,15,HS_009,223079.0,32853.91681441719,6.790027541011696
walking,Hos,15,HS_010,101492.0,48456.5610464427,2.094494487603568
walking,Hos,15,HS_011,48675.0,17832.391676992298,2.7295833829626703
walking,Hos,15,HS_012,71013.0,10571.060975471464,6.717679537065848
walking,Hos,15,HS_013,27181.0,66525.73265331684,0.4085787396231676
walking,Hos,15,HS_014,17794.0,33888.91488400798,0.5250684496952396
walking,Hos,15,HS_015,135654.0,45198.113939720366,3.0013199263340606
walking,Hos,15,HS_016,122965.0,67792.6005129483,1.813841024973129
walking,Hos,15,HS_017,3533.0,2133.221418512821,1.6561806333554616
walking,Hos,15,HS_018,82026.0,25703.439704553755,3.191246033326343
walking,Hos,15,HS_019,35314.0,40096.57717860028,0.8807235550980456
walking,Hos,15,HS_020,55288.0,48072.46138851355,1.1500971326009644
walking,Hos,15,HS_021,98753.0,29046.208460852133,3.399858543778518
walking,Hos,15,HS_022,50601.0,45924.504605595605,1.1018300672934116
walking,Hos,15,HS_023,43653.0,29114.825820077553,1.4993392119109619
walking,Hos,15,HS_024,86752.0,41479.15927680392,2.0914599406674492
walking,Hos,15,HS_025,35598.0,71621.48766063679,0.49702960888879555
walking,Hos,15,HS_026,190189.0,5463.873890241831,34.80845345637768
walking,Kin,5,K_001,240.0,600.9780041761964,0.3993490582554435
walking,Kin,5,K_002,267.0,0.0,0.0
walking,Kin,5,K_003,77.0,0.0,0.0
walking,Kin,5,K_004,323.0,4586.221729724244,0.070428343642125
walking,Kin,5,K_005,600.0,0.0,0.0
walking,Kin,5,K_006,210.0,0.0,0.0
walking,Kin,5,K_007,257.0,59.97963683319168,4.284787530720438
walking,Kin,5,K_008,675.0,4096.506033389386,0.16477456508016305
walking,Kin,5,K_009,190.0,1880.876016899564,0.10101675936790135
walking,Kin,5,K_010,249.0,0.0,0.0
walking,Kin,5,K_011,288.0,4936.806411745343,0.05833730877411119
walking,Kin,5,K_012,193.0,4249.081612089732,0.0454215799129076
walking,Kin,5,K_013,294.0,84.80406682636354,3.466814871059963
walking,Kin,5,K_014,360.0,398.4826029326538,0.9034271442481077
walking,Kin,5,K_015,226.0,2346.385349808943,0.09631836476408374
walking,Kin,5,K_016,652.0,0.0,0.0
walking,Kin,5,K_017,350.0,5803.321753322396,0.06031028691449433
walking,Kin,5,K_018,191.0,4173.664402373213,0.045763142789198456
walking,Kin,5,K_019,784.0,0.0,0.0
walking,Kin,5,K_020,101.0,0.0,0.0
walking,Kin,5,K_021,123.0,0.0,0.0
walking,Kin,5,K_022,506.0,12606.86707069004,0.04013685534738521
walking,Kin,5,K_023,126.0,7407.097677661143,0.017010711277643854
walking,Kin,5,K_024,85.0,14530.85653721616,0.005849620755823966
walking,Kin,5,K_025,92.0,13449.360398439827,0.006840473990917243
walking,Kin,5,K_026,109.0,1716.1590837080355,0.0635139253899983
walking,Kin,5,K_027,174.0,6237.771184401684,0.027894578825704355
walking,Kin,5,K_028,87.0,10189.462622707666,0.008538232409441954
walking,Kin,5,K_029,194.0,0.0,0.0
walking,Kin,5,K_030,58.0,4813.640630527728,0.012049092246764037
walking,Kin,5,K_031,94.0,84.1193718631785,1.117459604345269
walking,Kin,5,K_032,94.0,1138.9166997300922,0.08253456993147675
walking,Kin,5,K_033,327.0,0.0,0.0
walking,Kin,5,K_034,103.0,5425.011328378943,0.01898613546873046
walking,Kin,5,K_035,89.0,3946.3633565230357,0.02255240887864262
walking,Kin,5,K_036,88.0,0.0,0.0
walking,Kin,5,K_037,52.0,4169.007685081096,0.012472992118983943
walking,Kin,5,K_038,140.0,443.37093949634414,0.31576268881996583
walking,Kin,5,K_039,122.0,95.42483508357674,1.2784931710193443
walking,Kin,5,K_040,358.0,11741.257256381978,0.030490772170536386
walking,Kin,5,K_041,73.0,10180.895516769784,0.007170292621091705
walking,Kin,5,K_042,248.0,10715.724844357914,0.023143558051565493
walking,Kin,5,K_043,280.0,6740.851625695567,0.04153777824342895
walking,Kin,5,K_044,206.0,0.0,0.0
walking,Kin,5,K_045,408.0,21627.129375665656,0.018865194400652735
walking,Kin,5,K_046,140.0,0.0,0.0
walking,Kin,5,K_047,352.0,1309.6498614823984,0.26877412837777087
walking,Kin,5,K_048,266.0,69.0247483759989,3.853690252531117
