origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PV_013,walking,Primary School,5,0,943,Yau Tsim Mong,PV,6236,943,37000,22.31892152,114.1578582
PV_014,walking,Primary School,5,0,516,Kowloon City,PV,6634,516,18000,22.30820029,114.1866632
PV_015,walking,Primary School,5,0.1779359430604982,281,Wong Tai Sin,PV,3928,281,20000,22.3377553,114.1946033
PV_016,walking,Primary School,5,0.08333112798178823,966,Kwun Tong,PV,11801,966,15000,22.3166007,114.2192043
PV_017,walking,Primary School,5,0,2476,Kwun Tong,PV,22319,2476,28000,22.30590024,114.2277407
PV_018,walking,Primary School,5,0,1904,Kowloon City,PV,12664,1904,26250,22.30810963,114.1925198
PV_019,walking,Primary School,5,0.05992741922730434,893,Sham Shui Po,PV,6009,893,34000,22.33460708,114.1488407
PV_020,walking,Primary School,5,0.0563165905631659,657,Kowloon City,PV,8696,657,15000,22.31640666,114.1860035
PV_021,walking,Primary School,5,0,496,Sham Shui Po,PV,3140,496,21250,22.3350008,114.1424009
PV_022,walking,Primary School,5,0.07097791798107256,634,Kowloon City,PV,3189,634,35000,22.31828993,114.1820845
PV_023,walking,Primary School,5,0,4210,Sham Shui Po,PV,37299,4210,21250,22.33661512,114.139818
PV_024,walking,Primary School,5,0.03946957988334154,522,Kowloon City,PV,3421,522,15000,22.31609391,114.1904734
PV_025,walking,Primary School,5,0,1092,Yau Tsim Mong,PV,7887,1092,26060,22.32455143,114.1604239
PV_026,walking,Primary School,5,0.03379942116493794,242,Kowloon City,PV,2781,242,17000,22.31685284,114.191271
PV_027,walking,Primary School,5,0,440,Kowloon City,PV,2777,440,40000,22.32938647,114.2005199
PV_028,walking,Primary School,5,0,640,Sham Shui Po,PV,5005,640,31250,22.33377287,114.174473
PV_029,walking,Primary School,5,0,750,Yau Tsim Mong,PV,4651,750,30000,22.31607575,114.1630461
PV_030,walking,Primary School,5,0.5050761421319796,394,Yau Tsim Mong,PV,4090,394,17000,22.31045402,114.1684884
PV_031,walking,Primary School,5,0,729,Kowloon City,PV,4396,729,30000,22.30471666,114.1845144
PV_032,walking,Primary School,5,0.11001100110011003,909,Kwun Tong,PV,9645,909,14000,22.31604174,114.2351034
PV_033,walking,Primary School,5,0,1570,Kwun Tong,PV,12357,1570,25810,22.3070769,114.2332506
PV_034,walking,Primary School,5,0.007484659114550302,1089,Kowloon City,PV,5678,1089,28000,22.32339095,114.190396
PV_035,walking,Primary School,5,0,934,Yau Tsim Mong,PV,5802,934,26560,22.30639559,114.1625146
PV_036,walking,Primary School,5,0.24643281865635197,72,Sham Shui Po,PV,2567,72,16500,22.33227931,114.1695622
PV_037,walking,Primary School,5,0.02916020634994336,413,Kwun Tong,PV,3476,413,22000,22.3269967,114.2144952
PV_038,walking,Primary School,5,0,2019,Kwun Tong,PV,13142,2019,29500,22.3239867,114.2128048
PV_039,walking,Primary School,5,0.15643797481903363,493,Wong Tai Sin,PV,3264,493,26250,22.33356158,114.1968715
PV_040,walking,Primary School,5,0.04385026737967915,935,Yau Tsim Mong,PV,4472,935,45000,22.31952231,114.155851
PV_041,walking,Primary School,5,0.02128670248092273,1122,Sham Shui Po,PV,5604,1122,30000,22.33460465,114.1497904
PV_042,walking,Primary School,5,0,721,Yau Tsim Mong,PV,4002,721,29000,22.30485942,114.1630936
PV_043,walking,Primary School,5,0,793,Kowloon City,PV,6647,793,19000,22.30630575,114.1881364
PV_044,walking,Primary School,5,0.06701890989988876,3596,Kowloon City,PV,30038,3596,25000,22.30460603,114.1897326
