ID,facility_type,facility_name,facility_sc,map_latitude,map_longitude,Total_supply,,,,
K_006,Kindergarten,CHRISTIAN YOUTH CENTRE KINDERGARTEN,,22.32735604,114.1779809,210,,,,
K_007,Kindergarten,KOWLOON CITY BAPTIST CHURCH KINDERGARTEN,,22.32467372,114.1857945,257,,,,
K_008,Kindergarten,POOI TO PRIMARY SCHOOL,,22.32428537,114.1863283,675,,,,
K_009,Kindergarten,ST. MARK'S CHURCH BRADBURY KINDERGARTEN,,22.31984255,114.1808829,190,,,,
K_010,Kindergarten,KOWLOON LING LIANG CHURCH KINDERGARTEN,,22.32753639,114.1862412,249,,,,
K_011,Kindergarten,KOWLOON CANNAN ANGLO-CHINESE KINDERGARTEN,,22.31573328,114.1881718,288,,,,
K_012,Kindergarten,MAY NGA KINDERGARTEN,,22.32127793,114.1899194,193,,,,
K_013,Kindergarten,HOLY TRINITY CENTRE KINDERGARTEN,,22.32581137,114.1888133,294,,,,
K_014,Kindergarten,S.K.H. HOLY TRINITY CHURCH TSANG SHIU TIM KINDERGARTEN,,22.32564883,114.188755,360,,,,
K_015,Kindergarten,MAY NGA KINDERGARTEN (BRANCH),,22.31810824,114.1893561,226,,,,
K_016,Kindergarten,HONG KONG SOKA KINDERGARTEN,,22.33084182,114.1801552,652,,,,
K_017,Kindergarten,PO LEUNG KUK LI TSUI CHUNG SING MEMORIAL KINDERGARTEN,,22.30871662,114.186337,350,,,,
K_018,Kindergarten,SUN ISLAND ENGLISH KINDERGARTEN (LOK MAN),,22.31721444,114.1859008,191,,,,
K_019,Kindergarten,CANNAN KINDERGARTEN (KOWLOON TONG),,22.3280514,114.1764182,784,,,,
K_020,Kindergarten,HOMANTIN BAPTIST CHURCH KINDERGARTEN,,22.31499304,114.1831442,101,,,,
K_021,Kindergarten,ST. MONICA'S KINDERGARTEN,,22.31448733,114.1832024,123,,,,
K_022,Kindergarten,PO LEUNG KUK TAM AU-YEUNG SIU FONG MEMORIAL KINDERGARTEN,,22.3038848,114.1920916,506,,,,
K_023,Kindergarten,THE SALVATION ARMY LOK MAN NURSERY SCHOOL,,22.31524575,114.1863083,126,,,,
K_024,Kindergarten,TWGHS LO WONG PIK SHAN NURSERY SCHOOL,,22.31148928,114.1792328,85,,,,
K_025,Kindergarten,TSUNG TSIN MISSION OF HONG KONG ON KEI NURSERY SCHOOL,,22.3032799,114.190432,92,,,,
K_026,Kindergarten,PO LEUNG KUK LUI CHAN WAI CHING KINDERGARTEN,,22.3201586,114.1814556,109,,,,
K_027,Kindergarten,PO LEUNG KUK LAM TING LAI LING KINDERGARTEN,,22.30866246,114.1859876,174,,,,
K_028,Kindergarten,POK OI HOSPITAL MRS YAM WING YIN KINDERGARTEN,,22.30676552,114.192616,87,,,,
K_029,Kindergarten,KOWLOON LING LIANG CHURCH DAY NURSERY,,22.32753639,114.1862315,194,,,,
K_030,Kindergarten,LUTHERAN PHILIP HOUSE MA TAU WAI NURSERY SCHOOL,,22.32386991,114.1871533,58,,,,
K_031,Kindergarten,HO OI DAY NURSERY (SPONSORED BY SIK SIK YUEN),,22.31925514,114.189133,94,,,,
K_032,Kindergarten,HOMANTIN YANG MEMORIAL METHODIST PRE-SCHOOL,,22.31483955,114.1824842,94,,,,
K_033,Kindergarten,CANNAN KINDERGARTEN (WATERLOO ROAD),,22.32815073,114.1781945,327,,,,
K_034,Kindergarten,HKSPC MA TAU CHUNG NURSERY SCHOOL,,22.32442972,114.1884734,103,,,,
K_035,Kindergarten,HKSPC SIA WHAMPOA NURSERY SCHOOL,,22.30499601,114.1862882,89,,,,
K_036,Kindergarten,YMCA OF HONG KONG CHRISTIAN NURSERY SCHOOL (FARM ROAD),,22.3214678,114.1867649,88,,,,
K_037,Kindergarten,MAY NGA NURSERY,,22.32125085,114.1898514,52,,,,
K_038,Kindergarten,MARTHA BOSS LUTHERAN DAY NURSERY,,22.31630258,114.1794076,140,,,,
K_039,Kindergarten,PO LEUNG KUK CHAN LAI WAI LIN KINDERGARTEN,,22.31294287,114.1874243,122,,,,
